asset_id,ticker,investment_score,valuation_score,liquidity_score,category_momentum_score,rarity_score,data_quality_score,exit_probability_score
rally-99ss1,99SS1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-69bm1,69BM1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-92ld1,92LD1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-92cc1,92CC1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-61ge1,61GE1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-61mg1,61MG1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-72mc1,72MC1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-91mv1,91MV1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-75ra1,75RA1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-77le1,77LE1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-11bm1,11BM1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-catcher,CATCHER,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-einstein,EINSTEIN,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-federal,FEDERAL,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-hobbit,HOBBIT,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-potter,POTTER,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-warhol1,WARHOL1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-grateful1,GRATEFUL1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-warhol2,WARHOL2,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-sachs1,SACHS1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-andypele,ANDYPELE,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-hirst1,HIRST1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-gold1,GOLD1,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-meteorite,METEORITE,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-1857coin,1857COIN,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-justinian,JUSTINIAN,55.7,50.0,45.0,55.0,50.0,100.0,59.5
rally-croesus,CROESUS,55.7,50.0,45.0,55.0,50.0,100.0,59.5
