asset_id,ticker,name,category,subcategory,underlying_collectible,significance,publisher,publication_year,issue_number,grade,brand,model,year,size,material,color,hardware,status,share_count,offering_date,offering_price_usd,offering_valuation_usd,exit_date,exit_price_per_share,exit_value_usd,total_return_at_exit,acquisition_cost_usd,rally_url,sec_filing_url,source_type,source_url,source_notes,last_quote_observed_at,data_quality_status,data_quality_warnings,trading_state,lifecycle_event_type,lifecycle_event_status,lifecycle_event_date,status_updated_at,buyout_offer_date,buyout_offer_price_per_share,buyout_offer_total_value,buyout_reference_price,buyout_reference_price_date,buyout_premium_pct,buyout_vote_yes_pct,buyout_vote_no_pct,buyout_vote_advisory_pct,buyout_vote_as_of,buyout_vote_provisional,buyout_notes
rally-anmlfarm,ANMLFARM,George Orwell - Animal Farm (First Edition),books,rare books,,,,,,,,,,,,George Orwell - Animal Farm (First Edition),,trading,1000.0,2020-11-01,10.0,10000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-11.,2026-07-23,usable,,active,none,none,,,,,,,,,,,,,,
rally-bond1,BOND1,Ian Fleming - Casino Royale (First Edition),books,rare books,,,,,,,,,,,,Ian Fleming - Casino Royale (First Edition),,trading,1000.0,2020-06-01,39.0,39000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-06.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-bradbury,BRADBURY,Ray Bradbury - Fahrenheit 451 (Signed First Edition),books,rare books,,,,,,,,,,,,Ray Bradbury - Fahrenheit 451 (Signed First Edition),,trading,2000.0,2022-02-01,9.0,18000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-02.,2026-06-25,usable,,active,none,none,,,,,,,,,,,,,,
rally-brosgrimm,BROSGRIMM,Grimms' Fairy Tales (Inscribed),books,rare books,,,,,,,,,,,,Grimms' Fairy Tales (Inscribed),,trading,5000.0,2021-05-01,27.0,135000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-05.,2026-07-23,usable,,active,none,none,,,,,,,,,,,,,,
rally-catcher,CATCHER,J.D. Salinger's The Catcher in the Rye,books,rare books,,,,,,,,,,,,J.D. Salinger's The Catcher in the Rye,,exited,500.0,2020-06-01,25.0,12500.0,2026-07-20,27.95,13975.0,0.11799999999999988,,,,manual_seed,,Exited Books asset; no quarterly price observations added.,,limited,missing_quote_snapshot,inactive,other_exit,completed,2026-07-20,,,,,,,,,,,,,
rally-churchill,CHURCHILL,Winston Churchill - The Second World War (Signed First Edition),books,rare books,,,,,,,,,,,,Winston Churchill - The Second World War (Signed First Edition),,trading,7500.0,2020-07-01,1.0,7500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-07.,2026-06-24,usable,,active,none,none,,,,,,,,,,,,,,
rally-congress,CONGRESS,Journals of the Continental Congress (1774–1775),books,rare books,,,,,,,,,,,,Journals of the Continental Congress (17741775),,trading,5000.0,2021-07-01,24.0,120000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-07.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-dune,DUNE,Frank Herbert - Dune (Inscribed First Edition),books,rare books,,,,,,,,,,,,Frank Herbert - Dune (Inscribed First Edition),,trading,1000.0,2020-12-01,13.25,13250.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-12.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-einstein,EINSTEIN,"Albert Einstein's Philosopher-Scientist, Signed First Edition",books,rare books,,,,,,,,,,,,"Albert Einstein's Philosopher-Scientist, Signed First Edition",,exited,2000.0,2019-12-01,7.25,14500.0,2026-02-09,8.27,16540.0,0.14068965517241372,,,,manual_seed,,Exited Books asset; no quarterly price observations added.,,limited,missing_quote_snapshot,inactive,other_exit,completed,2026-02-09,,,,,,,,,,,,,
rally-federal,FEDERAL,"Hamilton, Madison, and Jay's The Federalist, First Edition",books,rare books,,,,,,,,,,,,"Hamilton, Madison, and Jay's The Federalist, First Edition",,exited,10000.0,2021-01-01,15.0,150000.0,2024-09-19,19.5,195000.0,0.30000000000000004,,,,manual_seed,,Exited Books asset; no quarterly price observations added.,,limited,missing_quote_snapshot,inactive,other_exit,completed,2024-09-19,,,,,,,,,,,,,
rally-frost,FROST,Robert Frost - A Boy's Will (First Edition),books,rare books,,,,,,,,,,,,Robert Frost - A Boy's Will (First Edition),,trading,200.0,2019-11-01,67.5,13500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-11.,2026-07-09,usable,,active,none,none,,,,,,,,,,,,,,
rally-gatsby,GATSBY,The Great Gatsby (Signed First Edition),books,rare books,,,,,,,,,,,,The Great Gatsby (Signed First Edition),,trading,4000.0,2020-09-01,50.0,200000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-09.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-grapes,GRAPES,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),books,rare books,,,,,,,,,,,,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),,trading,2000.0,2020-12-01,19.5,39000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-12.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-gwtw,GWTW,Gone with the Wind (Inscribed First Printing),books,rare books,,,,,,,,,,,,Gone with the Wind (Inscribed First Printing),,trading,5000.0,2022-02-01,5.0,25000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-02.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-hgwells,HGWELLS,H.G. Wells - The Time Machine (Inscribed First Edition),books,rare books,,,,,,,,,,,,H.G. Wells - The Time Machine (Inscribed First Edition),,trading,7500.0,2021-06-01,6.2,46500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-06.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-hobbit,HOBBIT,"J.R.R. Tolkien's The Hobbit, First Edition",books,rare books,,,,,,,,,,,,"J.R.R. Tolkien's The Hobbit, First Edition",,exited,10000.0,2021-12-01,8.0,80000.0,2024-11-13,9.0,90000.0,0.125,,,,manual_seed,,Exited Books asset; no quarterly price observations added.,,limited,missing_quote_snapshot,inactive,other_exit,completed,2024-11-13,,,,,,,,,,,,,
rally-holmes,HOLMES,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,books,rare books,,,,,,,,,,,,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,,trading,2500.0,2021-12-01,10.0,25000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-12.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-huckfinn,HUCKFINN,Mark Twain - Adventures of Huckleberry Finn (First Edition),books,rare books,,,,,,,,,,,,Mark Twain - Adventures of Huckleberry Finn (First Edition),,trading,2000.0,2021-04-01,11.0,22000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-04.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-irobot,IROBOT,"Isaac Asimov - I, Robot (First Edition)",books,rare books,,,,,,,,,,,,"Isaac Asimov - I, Robot (First Edition)",,trading,1000.0,2022-01-01,8.0,8000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-01.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-jekyll,JEKYLL,Dr. Jekyll and Mr. Hyde (First Edition),books,rare books,,,,,,,,,,,,Dr. Jekyll and Mr. Hyde (First Edition),,trading,5000.0,2022-08-01,4.0,20000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-08.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-keller,KELLER,Helen Keller 1892 Book (Inscribed),books,rare books,,,,,,,,,,,,Helen Keller 1892 Book (Inscribed),,trading,3000.0,2022-03-01,5.0,15000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-03.,2026-07-08,usable,,active,none,none,,,,,,,,,,,,,,
rally-kerouac,KEROUAC,Jack Kerouac - On the Road (Signed First Edition),books,rare books,,,,,,,,,,,,Jack Kerouac - On the Road (Signed First Edition),,trading,4900.0,2020-12-01,20.0,98000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-12.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-lotf,LOTF,William Golding - Lord of the Flies (First Edition),books,rare books,,,,,,,,,,,,William Golding - Lord of the Flies (First Edition),,trading,2000.0,2022-03-01,7.0,14000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-03.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-lotr,LOTR,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),books,rare books,,,,,,,,,,,,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),,trading,1000.0,2020-06-01,29.0,29000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-06.,2026-07-01,usable,,active,none,none,,,,,,,,,,,,,,
rally-marx,MARX,Karl Marx - Das Kapital (First Edition),books,rare books,,,,,,,,,,,,Karl Marx - Das Kapital (First Edition),,trading,8000.0,2021-10-01,15.0,120000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-10.,2026-06-25,usable,,active,none,none,,,,,,,,,,,,,,
rally-mobydick,MOBYDICK,Herman Melville - Moby-Dick (First Edition),books,rare books,,,,,,,,,,,,Herman Melville - Moby-Dick (First Edition),,trading,10000.0,2022-01-01,7.0,70000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-01.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-newton,NEWTON,Isaac Newton - Principia (First Edition),books,rare books,,,,,,,,,,,,Isaac Newton - Principia (First Edition),,trading,30000.0,2021-05-01,10.0,300000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-05.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-newworld,NEWWORLD,Aldous Huxley - Brave New World (First Edition),books,rare books,,,,,,,,,,,,Aldous Huxley - Brave New World (First Edition),,trading,2000.0,2022-01-01,7.0,14000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-01.,2026-07-22,usable,,active,none,none,,,,,,,,,,,,,,
rally-potter,POTTER,J.K. Rowling's Harry Potter and the Philosopher's Stone,books,rare books,,,,,,,,,,,,J.K. Rowling's Harry Potter and the Philosopher's Stone,,exited,3000.0,2019-11-01,24.0,72000.0,2024-02-13,44.16666666666666,132500.0,0.8402777777777777,,,,manual_seed,,Exited Books asset; no quarterly price observations added. Exact total exit value is authoritative; per-share exit price is derived from it.,,limited,missing_quote_snapshot,inactive,other_exit,completed,2024-02-13,,,,,,,,,,,,,
rally-rabbit,RABBIT,The Tale of Peter Rabbit (First Edition),books,rare books,,,,,,,,,,,,The Tale of Peter Rabbit (First Edition),,trading,10000.0,2022-08-01,4.6,46000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-08.,2026-07-09,usable,,active,none,none,,,,,,,,,,,,,,
rally-roosevelt,ROOSEVELT,Theodore Roosevelt - African Game Trails (Signed First Edition),books,rare books,,,,,,,,,,,,Theodore Roosevelt - African Game Trails (Signed First Edition),,trading,1000.0,2020-03-01,19.5,19500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-03.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-shkspr4,SHKSPR4,"Shakespeare - Comedies, Histories & Tragedies",books,rare books,,,,,,,,,,,,"Shakespeare - Comedies, Histories & Tragedies",,trading,1000.0,2020-07-01,115.0,115000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-07.,2026-06-24,usable,,active,none,none,,,,,,,,,,,,,,
rally-tkam,TKAM,Harper Lee - To Kill a Mockingbird (Signed First Edition),books,rare books,,,,,,,,,,,,Harper Lee - To Kill a Mockingbird (Signed First Edition),,trading,2000.0,2020-10-01,16.0,32000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-10.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-treasure,TREASURE,Treasure Island (First Edition),books,rare books,,,,,,,,,,,,Treasure Island (First Edition),,trading,4500.0,2022-05-01,5.0,22500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-05.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-twocities,TWOCITIES,Charles Dickens - A Tale of Two Cities (First Edition),books,rare books,,,,,,,,,,,,Charles Dickens - A Tale of Two Cities (First Edition),,trading,200.0,2019-11-01,72.5,14500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-11.,2026-07-02,usable,,active,none,none,,,,,,,,,,,,,,
rally-ulysses,ULYSSES,James Joyce - Ulysses (Matisse Signed),books,rare books,,,,,,,,,,,,James Joyce - Ulysses (Matisse Signed),,trading,500.0,2020-03-01,51.0,25500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-03.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-walden,WALDEN,Henry David Thoreau - Walden (First Edition),books,rare books,,,,,,,,,,,,Henry David Thoreau - Walden (First Edition),,trading,2000.0,2021-05-01,10.25,20500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-05.,2026-07-01,usable,,active,none,none,,,,,,,,,,,,,,
rally-wildthing,WILDTHING,Where the Wild Things Are (Inscribed First Edition),books,rare books,,,,,,,,,,,,Where the Wild Things Are (Inscribed First Edition),,trading,2000.0,2021-10-01,9.0,18000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-10.,2026-06-25,usable,,active,none,none,,,,,,,,,,,,,,
rally-wzrdofoz,WZRDOFOZ,The Wonderful Wizard of Oz (First Edition),books,rare books,,,,,,,,,,,,The Wonderful Wizard of Oz (First Edition),,trading,6000.0,2021-04-01,15.0,90000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-04.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-yoko,YOKO,Yoko Ono - Grapefruit (Signed First Edition),books,rare books,,,,,,,,,,,,Yoko Ono - Grapefruit (Signed First Edition),,trading,200.0,2020-05-01,80.0,16000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-05.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-11bm1,11BM1,2011 BMW 1M,cars,classic cars,,,,,,,,,2011.0,,,BMW 1M,,trading,2000.0,2019-01-01,42.0,84000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-01.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-55ps1,55PS1,1955 Porsche 356 Speedster,cars,classic cars,,,,,,,,,1955.0,,,Porsche 356 Speedster,,trading,2000.0,2018-03-01,212.5,425000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2018-03.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-61je1,61JE1,1961 Jaguar E-Type,cars,classic cars,,,,,,,,,1961.0,,,Jaguar E-Type,,trading,3000.0,2019-04-01,82.0,246000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-04.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-61mg1,61MG1,1961 Maserati 3500 GT,cars,classic cars,,,,,,,,,1961.0,,,Maserati 3500 GT,,trading,5000.0,2019-09-01,68.0,340000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-09.,2026-06-23,usable,,active,none,none,,,,,,,,,,,,,,
rally-63cc1,63CC1,1963 Chevrolet Corvette Split Window,cars,classic cars,,,,,,,,,1963.0,,,Chevrolet Corvette Split Window,,buyout_pending,2000.0,2019-03-01,63.0,126000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-03.,2026-06-29,usable,,halted,buyout_offer,pending,,2026-07-31T00:00:00Z,,60.44,120880.0,69.0,2026-06-29,-0.1240579710144927,,,,,,Pending offer metadata; not an executed trade or realized exit.
rally-65ag1,65AG1,1965 Alfa Romeo Giulia SS,cars,classic cars,,,,,,,,,1965.0,,,Alfa Romeo Giulia SS,,trading,2000.0,2019-04-01,89.25,178500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-04.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-65fm1,65FM1,1965 Mustang Fastback,cars,classic cars,,,,,,,,,1965.0,,,Mustang Fastback,,trading,2000.0,2019-05-01,41.25,82500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-05.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-69bm1,69BM1,1969 Boss 302 Mustang,cars,classic cars,,,,,,,,,1969.0,,,Boss 302 Mustang,,trading,2000.0,2017-11-01,57.5,115000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2017-11.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-72mc1,72MC1,1972 Mazda Cosmo Sport,cars,classic cars,,,,,,,,,1972.0,,,Mazda Cosmo Sport,,trading,2000.0,2018-12-01,62.25,124500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2018-12.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-75ra1,75RA1,1975 Renault Alpine A110,cars,classic cars,,,,,,,,,1975.0,,,Renault Alpine A110,,trading,3000.0,2019-03-01,28.0,84000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-03.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-77le1,77LE1,1977 Lotus Esprit S1,cars,classic cars,,,,,,,,,1977.0,,,Lotus Esprit S1,,trading,2000.0,2016-11-01,38.85,77700.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2016-11.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-82av1,82AV1,1982 Aston Martin V8 Vantage Oscar India,cars,classic cars,,,,,,,,,1982.0,,,Aston Martin V8 Vantage Oscar India,,trading,14875.0,2021-12-01,20.0,297500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-12.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-83fb1,83FB1,1983 Ferrari 512 BBi,cars,classic cars,,,,,,,,,1983.0,,,Ferrari 512 BBi,,trading,5000.0,2018-07-01,70.0,350000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2018-07.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-91mv1,91MV1,1991 Mitsubishi 3000GT VR-4,cars,classic cars,,,,,,,,,1991.0,,,Mitsubishi 3000GT VR-4,,buyout_pending,2000.0,2018-11-01,19.0,38000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2018-11.,2026-06-29,usable,,halted,buyout_offer,pending,,2026-07-31T00:00:00Z,,20.0,40000.0,18.0,2026-06-29,0.1111111111111111,,,,,,Pending offer metadata; not an executed trade or realized exit.
rally-92cc1,92CC1,1992 Chevrolet Corvette ZR-1,cars,classic cars,,,,,,,,,1992.0,,,Chevrolet Corvette ZR-1,,trading,2000.0,2019-09-01,26.25,52500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-09.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-92ld1,92LD1,1992 Lancia Delta Martini 5,cars,classic cars,,,,,,,,,1992.0,,,Lancia Delta Martini 5,,trading,3000.0,2018-12-01,55.0,165000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2018-12.,2026-06-25,usable,,active,none,none,,,,,,,,,,,,,,
rally-93xj1,93XJ1,1993 Jaguar XJ220,cars,classic cars,,,,,,,,,1993.0,,,Jaguar XJ220,,trading,5000.0,2018-08-01,99.0,495000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2018-08.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-94dv1,94DV1,1994 Dodge Viper RT/10,cars,classic cars,,,,,,,,,1994.0,,,Dodge Viper RT/10,,buyout_pending,2000.0,2018-12-01,28.75,57500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2018-12.,2026-06-29,usable,,halted,buyout_offer,pending,,2026-07-31T00:00:00Z,,31.5,63000.0,30.0,2026-06-29,0.05,,,,,,Pending offer metadata; not an executed trade or realized exit.
rally-94fs1,94FS1,1994 Ferrari 348 Spider,cars,classic cars,,,,,,,,,1994.0,,,Ferrari 348 Spider,,buyout_pending,2000.0,2019-09-01,72.5,145000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-09.,2026-06-24,usable,,halted,buyout_offer,pending,,2026-07-31T00:00:00Z,,87.0,174000.0,58.0,2026-06-24,0.5,,,,,,Pending offer metadata; not an executed trade or realized exit.
rally-99ss1,99SS1,1999 Shelby Series 1,cars,classic cars,,,,,,,,,1999.0,,,Shelby Series 1,,buyout_pending,1000.0,2019-09-01,137.5,137500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-09.,2026-06-23,usable,,halted,buyout_offer,pending,,2026-07-31T00:00:00Z,,165.5,165500.0,165.0,2026-06-23,0.0030303030303029,22.0,77.0,0.5,2026-07-31T00:00:00Z,True,"User-observed approximate, provisional, non-final vote snapshot; Advisory Decide approximately 0.5%. Not used in index calculations."
rally-1857coin,1857COIN,1857 “Ship of Gold” Coin,coins,coins,,,,,,,,,,,,1857 Ship of Gold Coin,,trading,5000.0,2022-08-01,5.0,25000.0,,,,,,,,manual_seed,,Rare 1857-S $20 gold coin salvaged from the SS Central America. Currently trading. Submitted offering_date was 2022-08. No price history has been ingested.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-croesus,CROESUS,561–546 BC First Gold Coin,coins,ancient coins,,,,,,,,,,,,561546 BC First Gold Coin,,trading,8000.0,2022-07-01,8.0,64000.0,,,,,,,,manual_seed,,Ancient Lydian gold coin associated with King Croesus and the early development of gold coinage. Currently trading. Submitted offering_date was 2022-07. No price history has been ingested.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-justinian,JUSTINIAN,First Depiction of Christ on a Coin,coins,ancient coins,,,,,,,,,,,,First Depiction of Christ on a Coin,,trading,2000.0,2021-12-01,9.0,18000.0,,,,,,,,manual_seed,,Coin dated to approximately 695 AD featuring the first depiction of Christ on a coin. Currently trading. Submitted offering_date was 2021-12. No price history has been ingested.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-59flash,59FLASH,1959 DC Comics The Flash #105,comics,comics,,,,,,,,,1959.0,,,DC Comics The Flash #105,,trading,10000.0,2021-01-01,6.5,65000.0,,,,,,,,manual_seed,,Submitted offering_date was 2021-01. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-ac23,AC23,1940 DC Comics Action Comics #23,comics,comics,,,,,,,,,1940.0,,,DC Comics Action Comics #23,,trading,4000.0,2021-05-01,7.0,28000.0,,,,,,,,manual_seed,,First appearance of Lex Luthor. Submitted offering_date was 2021-05. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
