asset_id,ticker,name,category,subcategory,issuer_cik,series_name,offering_date,offering_price,shares,market_cap_usd,last_price_usd,source_url,source_confidence,rarity_score,status,trading_state,lifecycle_event_type,lifecycle_event_status,lifecycle_event_date,status_updated_at,buyout_offer_date,buyout_offer_price_per_share,buyout_offer_total_value,buyout_reference_price,buyout_reference_price_date,buyout_premium_pct,buyout_vote_yes_pct,buyout_vote_no_pct,buyout_vote_advisory_pct,buyout_vote_as_of,buyout_vote_provisional,buyout_notes,notes,underlying_collectible,significance,publisher,publication_year,issue_number,grade,exit_date,exit_price_per_share,exit_value_total,exit_type
rally-birkinblu,BIRKINBLU,Hermès 25cm Blue Lizard Birkin,handbags,birkin_lizard,,,2019-11-01,58.0,1000,,,,1.0,0.5,exited,inactive,buyout,completed,2025-04-10,,,,,,,,,,,,,,Exited via buyout. Submitted offering_date was 2019-11.,,,,,,,2025-04-10,68.0,68000.0,buyout
rally-birkinbor,BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,handbags,birkin_crocodile,,,2020-02-01,26.25,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-02.,,,,,,,,,,
rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,handbags,birkin_ostrich,,,2020-06-01,28.0,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-06.,,,,,,,,,,
rally-bond1,BOND1,Ian Fleming - Casino Royale (First Edition),books,rare books,,,2020-06-01,39.0,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-06.,,,,,,,,,,
rally-bondwatch,BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,watches,omega,,,2022-01-01,4.0,20000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Film-worn James Bond watch. Submitted offering_date was 2022-01.,,,,,,,,,,
rally-bradbury,BRADBURY,Ray Bradbury - Fahrenheit 451 (Signed First Edition),books,rare books,,,2022-02-01,9.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-02.,,,,,,,,,,
rally-brosgrimm,BROSGRIMM,Grimms' Fairy Tales (Inscribed),books,rare books,,,2021-05-01,27.0,5000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-05.,,,,,,,,,,
rally-churchill,CHURCHILL,Winston Churchill - The Second World War (Signed First Edition),books,rare books,,,2020-07-01,1.0,7500,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-07.,,,,,,,,,,
rally-congress,CONGRESS,Journals of the Continental Congress (1774–1775),books,rare books,,,2021-07-01,24.0,5000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-07.,,,,,,,,,,
rally-deaton,DEATON,Deaton Triceratops Skull,fossils,triceratops,,,2021-01-01,25.0,11400,,,,1.0,0.5,exit_pending,halted,other_exit,pending,,,,,,,,,,,,,,,"Pending buyout vote in progress; proposed $600,000 / $52.63 per share offer has not been approved or completed. Last secondary close before pending vote was $23.75/share ($270,750 market cap). Submitted offering_date was 2021-01.",,,,,,,,,,
rally-dimaggio2,DIMAGGIO2,DiMaggio 2 Watch,watches,,,,2020-11-01,10.5,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Exact watch model not yet recorded. Submitted offering_date was 2020-11.,,,,,,,,,,
rally-dominos,DOMINOS,Domino's Pizza Special Edition Rolex Air-King,watches,rolex,,,2021-01-01,5.5,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-01.,,,,,,,,,,
rally-dune,DUNE,Frank Herbert - Dune (Inscribed First Edition),books,rare books,,,2020-12-01,13.25,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-12.,,,,,,,,,,
rally-faubourg,FAUBOURG,Hermès Faubourg,handbags,faubourg,,,2020-09-01,75.0,2000,,,,1.0,0.5,exited,inactive,buyout,completed,2023-05-30,,,,,,,,,,,,,,"Exited via buyout for $175,000 / $87.50 per share.",,,,,,,2023-05-30,87.5,175000.0,buyout
rally-faubourg2,FAUBOURG2,Hermès Faubourg 2,handbags,faubourg,,,2021-01-01,15.0,11000,,,,1.0,0.5,exited,inactive,buyout,completed,2025-01-06,,,,,,,,,,,,,,Exited via buyout. Submitted offering_date was 2021-01.,,,,,,,2025-01-06,16.5,181500.0,buyout
rally-frost,FROST,Robert Frost - A Boy's Will (First Edition),books,rare books,,,2019-11-01,67.5,200,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2019-11.,,,,,,,,,,
rally-gatsby,GATSBY,The Great Gatsby (Signed First Edition),books,rare books,,,2020-09-01,50.0,4000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-09.,,,,,,,,,,
rally-gmtblack1,GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,watches,rolex,,,2020-06-01,28.0,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-06.,,,,,,,,,,
rally-grapes,GRAPES,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),books,rare books,,,2020-12-01,19.5,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-12.,,,,,,,,,,
rally-gwtw,GWTW,Gone with the Wind (Inscribed First Printing),books,rare books,,,2022-02-01,5.0,5000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-02.,,,,,,,,,,
rally-hgwells,HGWELLS,H.G. Wells - The Time Machine (Inscribed First Edition),books,rare books,,,2021-06-01,6.2,7500,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-06.,,,,,,,,,,
rally-himalaya,HIMALAYA,Hermès 30cm Himalaya Birkin,handbags,birkin_himalaya,,,2020-05-01,70.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-05.,,,,,,,,,,
rally-holmes,HOLMES,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,books,rare books,,,2021-12-01,10.0,2500,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-12.,,,,,,,,,,
rally-huckfinn,HUCKFINN,Mark Twain - Adventures of Huckleberry Finn (First Edition),books,rare books,,,2021-04-01,11.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-04.,,,,,,,,,,
rally-irobot,IROBOT,"Isaac Asimov - I, Robot (First Edition)",books,rare books,,,2022-01-01,8.0,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-01.,,,,,,,,,,
rally-jekyll,JEKYLL,Dr. Jekyll and Mr. Hyde (First Edition),books,rare books,,,2022-08-01,4.0,5000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-08.,,,,,,,,,,
rally-karuizawa,KARUIZAWA,Karuizawa Aqua of Life 50-Year-Old Whisky,wine and whiskey,japanese whisky,,,2021-11-01,5.0,13000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-11.,,,,,,,,,,
rally-keller,KELLER,Helen Keller 1892 Book (Inscribed),books,rare books,,,2022-03-01,5.0,3000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-03.,,,,,,,,,,
rally-kerouac,KEROUAC,Jack Kerouac - On the Road (Signed First Edition),books,rare books,,,2020-12-01,20.0,4900,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-12.,,,,,,,,,,
rally-lotf,LOTF,William Golding - Lord of the Flies (First Edition),books,rare books,,,2022-03-01,7.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-03.,,,,,,,,,,
rally-lotr,LOTR,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),books,rare books,,,2020-06-01,29.0,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-06.,,,,,,,,,,
rally-macallan1,MACALLAN1,Macallan 30-Year-Old Blue Label Scotch Whisky,wine and whiskey,scotch whisky,,,2021-11-01,13.25,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-11.,,,,,,,,,,
rally-macallan2,MACALLAN2,Macallan 40-Year-Old Whisky,wine and whiskey,scotch whisky,,,2022-02-01,6.0,5000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-02.,,,,,,,,,,
rally-macallan3,MACALLAN3,1938 Macallan Red Ribbon Whisky,wine and whiskey,scotch whisky,,,2022-07-01,5.0,4100,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-07.,,,,,,,,,,
rally-marx,MARX,Karl Marx - Das Kapital (First Edition),books,rare books,,,2021-10-01,15.0,8000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-10.,,,,,,,,,,
rally-megalodon,MEGALODON,Megalodon Fossil,fossils,shark,,,2021-10-01,20.0,30000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-10.,,,,,,,,,,
rally-mobydick,MOBYDICK,Herman Melville - Moby-Dick (First Edition),books,rare books,,,2022-01-01,7.0,10000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-01.,,,,,,,,,,
rally-mosasaur,MOSASAUR,Mosasaur,fossils,mosasaur,,,2021-02-01,5.0,6000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Quarterly history imported. Submitted offering_date was 2021-02.,,,,,,,,,,
rally-newton,NEWTON,Isaac Newton - Principia (First Edition),books,rare books,,,2021-05-01,10.0,30000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-05.,,,,,,,,,,
rally-newworld,NEWWORLD,Aldous Huxley - Brave New World (First Edition),books,rare books,,,2022-01-01,7.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-01.,,,,,,,,,,
rally-pappy1,PAPPY1,Pappy Van Winkle Bourbon Assortment,wine and whiskey,bourbon,,,2022-08-01,7.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-08.,,,,,,,,,,
rally-picnic,PICNIC,Hermès 35cm Picnic Kelly,handbags,kelly_picnic,,,2020-12-01,27.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-12.,,,,,,,,,,
rally-rabbit,RABBIT,The Tale of Peter Rabbit (First Edition),books,rare books,,,2022-08-01,4.6,10000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-08.,,,,,,,,,,
rally-riviera,RIVIERA,1965 Rolex 1601 Datejust Joyera Riviera,watches,rolex,,,2021-04-01,5.0,6000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-04.,,,,,,,,,,
rally-rlexpepsi,RLEXPEPSI,Rolex GMT-Master II Pepsi Jubilee,watches,rolex,,,2019-11-01,8.9,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2019-11.,,,,,,,,,,
rally-roosevelt,ROOSEVELT,Theodore Roosevelt - African Game Trails (Signed First Edition),books,rare books,,,2020-03-01,19.5,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-03.,,,,,,,,,,
rally-shkspr4,SHKSPR4,"Shakespeare - Comedies, Histories & Tragedies",books,rare books,,,2020-07-01,115.0,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-07.,,,,,,,,,,
rally-smurf,SMURF,Rolex Submariner Smurf,watches,rolex,,,2019-11-01,17.25,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2019-11.,,,,,,,,,,
rally-snoopy,SNOOPY,Omega Speedmaster Silver Snoopy,watches,omega,,,2020-04-01,12.75,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-04.,,,,,,,,,,
rally-soblack,SOBLACK,Hermès 30cm So Black Birkin,handbags,birkin_so_black,,,2020-09-01,56.0,1000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-09.,,,,,,,,,,
rally-steg,STEG,BCQ-24 Stegosaurus Skeleton,fossils,stegosaurus,,,2024-12-01,68.75,200000,,,,1.0,0.5,exited,inactive,other_exit,completed,,,,,,,,,,,,,,,Offering complete. Will not trade on Rally. Submitted offering_date was 2024-12.,,,,,,,,,,
rally-tkam,TKAM,Harper Lee - To Kill a Mockingbird (Signed First Edition),books,rare books,,,2020-10-01,16.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-10.,,,,,,,,,,
rally-tornek,TORNEK,Tornek-Rayville TR-900,watches,tornek-rayville,,,2020-11-01,5.0,33000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-11.,,,,,,,,,,
rally-treasure,TREASURE,Treasure Island (First Edition),books,rare books,,,2022-05-01,5.0,4500,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2022-05.,,,,,,,,,,
rally-twocities,TWOCITIES,Charles Dickens - A Tale of Two Cities (First Edition),books,rare books,,,2019-11-01,72.5,200,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2019-11.,,,,,,,,,,
rally-ulysses,ULYSSES,James Joyce - Ulysses (Matisse Signed),books,rare books,,,2020-03-01,51.0,500,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-03.,,,,,,,,,,
rally-walden,WALDEN,Henry David Thoreau - Walden (First Edition),books,rare books,,,2021-05-01,10.25,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-05.,,,,,,,,,,
rally-wildthing,WILDTHING,Where the Wild Things Are (Inscribed First Edition),books,rare books,,,2021-10-01,9.0,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-10.,,,,,,,,,,
rally-wzrdofoz,WZRDOFOZ,The Wonderful Wizard of Oz (First Edition),books,rare books,,,2021-04-01,15.0,6000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-04.,,,,,,,,,,
rally-yoko,YOKO,Yoko Ono - Grapefruit (Signed First Edition),books,rare books,,,2020-05-01,80.0,200,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2020-05.,,,,,,,,,,
rally-93xj1,93XJ1,1993 Jaguar XJ220,cars,classic cars,,,2018-08-01,99.0,5000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2018-08.,,,,,,,,,,
rally-83fb1,83FB1,1983 Ferrari 512 BBi,cars,classic cars,,,2018-07-01,70.0,5000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2018-07.,,,,,,,,,,
rally-63cc1,63CC1,1963 Chevrolet Corvette Split Window,cars,classic cars,,,2019-03-01,63.0,2000,,,,1.0,0.5,buyout_pending,halted,buyout_offer,pending,,2026-07-31T00:00:00Z,,60.44,120880.0,69.0,2026-06-29,-0.1240579710144927,,,,,,Pending offer metadata; not an executed trade or realized exit.,Currently trading. Submitted offering_date was 2019-03.,,,,,,,,,,
rally-65fm1,65FM1,1965 Mustang Fastback,cars,classic cars,,,2019-05-01,41.25,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2019-05.,,,,,,,,,,
rally-55ps1,55PS1,1955 Porsche 356 Speedster,cars,classic cars,,,2018-03-01,212.5,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2018-03.,,,,,,,,,,
rally-65ag1,65AG1,1965 Alfa Romeo Giulia SS,cars,classic cars,,,2019-04-01,89.25,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2019-04.,,,,,,,,,,
rally-82av1,82AV1,1982 Aston Martin V8 Vantage Oscar India,cars,classic cars,,,2021-12-01,20.0,14875,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2021-12.,,,,,,,,,,
rally-94fs1,94FS1,1994 Ferrari 348 Spider,cars,classic cars,,,2019-09-01,72.5,2000,,,,1.0,0.5,buyout_pending,halted,buyout_offer,pending,,2026-07-31T00:00:00Z,,87.0,174000.0,58.0,2026-06-24,0.5,,,,,,Pending offer metadata; not an executed trade or realized exit.,Currently trading. Submitted offering_date was 2019-09.,,,,,,,,,,
rally-94dv1,94DV1,1994 Dodge Viper RT/10,cars,classic cars,,,2018-12-01,28.75,2000,,,,1.0,0.5,buyout_pending,halted,buyout_offer,pending,,2026-07-31T00:00:00Z,,31.5,63000.0,30.0,2026-06-29,0.05,,,,,,Pending offer metadata; not an executed trade or realized exit.,Currently trading. Submitted offering_date was 2018-12.,,,,,,,,,,
rally-99ss1,99SS1,1999 Shelby Series 1,cars,classic cars,,,2019-09-01,137.5,1000,,,,1.0,0.5,buyout_pending,halted,buyout_offer,pending,,2026-07-31T00:00:00Z,,165.5,165500.0,165.0,2026-06-23,0.0030303030303029,22.0,77.0,0.5,2026-07-31T00:00:00Z,True,"User-observed approximate, provisional, non-final vote snapshot; Advisory Decide approximately 0.5%. Not used in index calculations.",Currently trading. Submitted offering_date was 2019-09.,,,,,,,,,,
rally-69bm1,69BM1,1969 Boss 302 Mustang,cars,classic cars,,,2017-11-01,57.5,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2017-11.,,,,,,,,,,
rally-92ld1,92LD1,1992 Lancia Delta Martini 5,cars,classic cars,,,2018-12-01,55.0,3000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2018-12.,,,,,,,,,,
rally-92cc1,92CC1,1992 Chevrolet Corvette ZR-1,cars,classic cars,,,2019-09-01,26.25,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2019-09.,,,,,,,,,,
rally-61je1,61JE1,1961 Jaguar E-Type,cars,classic cars,,,2019-04-01,82.0,3000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2019-04.,,,,,,,,,,
rally-61mg1,61MG1,1961 Maserati 3500 GT,cars,classic cars,,,2019-09-01,68.0,5000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2019-09.,,,,,,,,,,
rally-72mc1,72MC1,1972 Mazda Cosmo Sport,cars,classic cars,,,2018-12-01,62.25,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2018-12.,,,,,,,,,,
rally-91mv1,91MV1,1991 Mitsubishi 3000GT VR-4,cars,classic cars,,,2018-11-01,19.0,2000,,,,1.0,0.5,buyout_pending,halted,buyout_offer,pending,,2026-07-31T00:00:00Z,,20.0,40000.0,18.0,2026-06-29,0.1111111111111111,,,,,,Pending offer metadata; not an executed trade or realized exit.,Currently trading. Submitted offering_date was 2018-11.,,,,,,,,,,
rally-75ra1,75RA1,1975 Renault Alpine A110,cars,classic cars,,,2019-03-01,28.0,3000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2019-03.,,,,,,,,,,
rally-77le1,77LE1,1977 Lotus Esprit S1,cars,classic cars,,,2016-11-01,38.85,2000,,,,1.0,0.5,trading,active,none,none,,,,,,,,,,,,,,,Currently trading. Submitted offering_date was 2016-11.,,,,,,,,,,
