asset_id,ticker,name,category,subcategory,brand,model,year,size,material,color,hardware,offering_date,offering_market_cap_usd,current_market_cap_usd,acquisition_cost_usd,last_trade_price,bid_price,ask_price,share_count,sec_filing_url,status,exit_date,exit_price_per_share,exit_market_cap_usd,total_return_at_exit,source_notes
rally-gatsby,GATSBY,The Great Gatsby (Signed First Edition),books,rare books,,,,,,The Great Gatsby (Signed First Edition),,2020-09-01,200000.0,96000.0,,24.0,,,4000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-09.
rally-gmtblack1,GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,watches,rolex,Rolex,,1983.0,,,GMT-Master Nipple Dial,,2020-06-01,28000.0,28500.0,,28.5,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-06.
rally-grapes,GRAPES,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),books,rare books,,,,,,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),,2020-12-01,39000.0,25900.0,,12.95,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-12.
rally-gwtw,GWTW,Gone with the Wind (Inscribed First Printing),books,rare books,,,,,,Gone with the Wind (Inscribed First Printing),,2022-02-01,25000.0,17000.0,,3.4,,,5000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-02.
rally-hgwells,HGWELLS,H.G. Wells - The Time Machine (Inscribed First Edition),books,rare books,,,,,,H.G. Wells - The Time Machine (Inscribed First Edition),,2021-06-01,46500.0,17250.0,,2.3,,,7500.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-06.
rally-himalaya,HIMALAYA,Hermès 30cm Himalaya Birkin,handbags,birkin_himalaya,Hermes,Birkin,,30,,Himalaya,,2020-05-01,140000.0,93800.0,,46.9,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-05.
rally-holmes,HOLMES,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,books,rare books,,,,,,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,,2021-12-01,25000.0,16125.0,,6.45,,,2500.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-12.
rally-huckfinn,HUCKFINN,Mark Twain - Adventures of Huckleberry Finn (First Edition),books,rare books,,,,,,Mark Twain - Adventures of Huckleberry Finn (First Edition),,2021-04-01,22000.0,10800.0,,5.4,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-04.
rally-irobot,IROBOT,"Isaac Asimov - I, Robot (First Edition)",books,rare books,,,,,,"Isaac Asimov - I, Robot (First Edition)",,2022-01-01,8000.0,9100.0,,9.1,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-01.
rally-jekyll,JEKYLL,Dr. Jekyll and Mr. Hyde (First Edition),books,rare books,,,,,,Dr. Jekyll and Mr. Hyde (First Edition),,2022-08-01,20000.0,14000.0,,2.8,,,5000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-08.
rally-karuizawa,KARUIZAWA,Karuizawa Aqua of Life 50-Year-Old Whisky,wine and whiskey,japanese whisky,,,,,,Karuizawa Aqua of Life 50-Year-Old Whisky,,2021-11-01,65000.0,42250.0,,3.25,,,13000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-11.
rally-keller,KELLER,Helen Keller 1892 Book (Inscribed),books,rare books,,,,,,Helen Keller 1892 Book (Inscribed),,2022-03-01,15000.0,10650.0,,3.55,,,3000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-03.
rally-kerouac,KEROUAC,Jack Kerouac - On the Road (Signed First Edition),books,rare books,,,,,,Jack Kerouac - On the Road (Signed First Edition),,2020-12-01,98000.0,29155.0,,5.95,,,4900.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-12.
rally-lotf,LOTF,William Golding - Lord of the Flies (First Edition),books,rare books,,,,,,William Golding - Lord of the Flies (First Edition),,2022-03-01,14000.0,7500.0,,3.75,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-03.
rally-lotr,LOTR,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),books,rare books,,,,,,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),,2020-06-01,29000.0,75000.0,,75.0,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-06.
rally-macallan1,MACALLAN1,Macallan 30-Year-Old Blue Label Scotch Whisky,wine and whiskey,scotch whisky,,,,,,Macallan 30-Year-Old Blue Label Scotch Whisky,,2021-11-01,13250.0,12500.0,,12.5,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-11.
rally-macallan2,MACALLAN2,Macallan 40-Year-Old Whisky,wine and whiskey,scotch whisky,,,,,,Macallan 40-Year-Old Whisky,,2022-02-01,30000.0,29000.0,,5.8,,,5000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-02.
rally-macallan3,MACALLAN3,1938 Macallan Red Ribbon Whisky,wine and whiskey,scotch whisky,,,1938.0,,,Macallan Red Ribbon Whisky,,2022-07-01,20500.0,25830.0,,6.3,,,4100.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-07.
rally-marx,MARX,Karl Marx - Das Kapital (First Edition),books,rare books,,,,,,Karl Marx - Das Kapital (First Edition),,2021-10-01,120000.0,36800.0,,4.6,,,8000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-10.
rally-megalodon,MEGALODON,Megalodon Fossil,fossils,shark,,,,,,Megalodon Fossil,,2021-10-01,600000.0,178500.0,,5.95,,,30000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-10.
rally-mobydick,MOBYDICK,Herman Melville - Moby-Dick (First Edition),books,rare books,,,,,,Herman Melville - Moby-Dick (First Edition),,2022-01-01,70000.0,33500.0,,3.35,,,10000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-01.
rally-mosasaur,MOSASAUR,Mosasaur,fossils,mosasaur,,,,,,Mosasaur,,2021-02-01,30000.0,34200.0,,5.7,,,6000.0,,trading,,,,,Currently trading. Quarterly history imported. Submitted offering_date was 2021-02.
rally-newton,NEWTON,Isaac Newton - Principia (First Edition),books,rare books,,,,,,Isaac Newton - Principia (First Edition),,2021-05-01,300000.0,205500.0,,6.85,,,30000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-05.
rally-newworld,NEWWORLD,Aldous Huxley - Brave New World (First Edition),books,rare books,,,,,,Aldous Huxley - Brave New World (First Edition),,2022-01-01,14000.0,11600.0,,5.8,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-01.
rally-pappy1,PAPPY1,Pappy Van Winkle Bourbon Assortment,wine and whiskey,bourbon,,,,,,Pappy Van Winkle Bourbon Assortment,,2022-08-01,14000.0,65100.0,,32.55,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-08.
rally-picnic,PICNIC,Hermès 35cm Picnic Kelly,handbags,kelly_picnic,Hermes,Kelly,,35,,Picnic,,2020-12-01,54000.0,26600.0,,13.3,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-12.
rally-rabbit,RABBIT,The Tale of Peter Rabbit (First Edition),books,rare books,,,,,,The Tale of Peter Rabbit (First Edition),,2022-08-01,46000.0,47500.0,,4.75,,,10000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-08.
rally-riviera,RIVIERA,1965 Rolex 1601 Datejust Joyera Riviera,watches,rolex,Rolex,,1965.0,,,1601 Datejust Joyera Riviera,,2021-04-01,30000.0,19800.0,,3.3,,,6000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-04.
rally-rlexpepsi,RLEXPEPSI,Rolex GMT-Master II Pepsi Jubilee,watches,rolex,Rolex,,,,,GMT-Master II Pepsi Jubilee,,2019-11-01,17800.0,20000.0,,10.0,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-11.
rally-roosevelt,ROOSEVELT,Theodore Roosevelt - African Game Trails (Signed First Edition),books,rare books,,,,,,Theodore Roosevelt - African Game Trails (Signed First Edition),,2020-03-01,19500.0,19800.0,,19.8,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-03.
rally-shkspr4,SHKSPR4,"Shakespeare - Comedies, Histories & Tragedies",books,rare books,,,,,,"Shakespeare - Comedies, Histories & Tragedies",,2020-07-01,115000.0,75000.0,,75.0,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-07.
rally-smurf,SMURF,Rolex Submariner Smurf,watches,rolex,Rolex,Submariner,,,,,,2019-11-01,34500.0,36100.0,,18.05,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-11.
rally-snoopy,SNOOPY,Omega Speedmaster Silver Snoopy,watches,omega,,,,,,Omega Speedmaster Silver Snoopy,,2020-04-01,25500.0,27500.0,,13.75,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-04.
rally-soblack,SOBLACK,Hermès 30cm So Black Birkin,handbags,birkin_so_black,Hermes,Birkin,,30,,So Black,,2020-09-01,56000.0,35050.0,,35.05,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-09.
rally-steg,STEG,BCQ-24 Stegosaurus Skeleton,fossils,stegosaurus,,,,,,BCQ-24 Stegosaurus Skeleton,,2024-12-01,13750000.0,,,,,,200000.0,,sold,,,,,Offering complete. Will not trade on Rally. Submitted offering_date was 2024-12.
rally-tkam,TKAM,Harper Lee - To Kill a Mockingbird (Signed First Edition),books,rare books,,,,,,Harper Lee - To Kill a Mockingbird (Signed First Edition),,2020-10-01,32000.0,25000.0,,12.5,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-10.
rally-tornek,TORNEK,Tornek-Rayville TR-900,watches,tornek-rayville,,,,,,Tornek-Rayville TR-900,,2020-11-01,165000.0,77550.0,,2.35,,,33000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-11.
rally-treasure,TREASURE,Treasure Island (First Edition),books,rare books,,,,,,Treasure Island (First Edition),,2022-05-01,22500.0,13950.0,,3.1,,,4500.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-05.
rally-twocities,TWOCITIES,Charles Dickens - A Tale of Two Cities (First Edition),books,rare books,,,,,,Charles Dickens - A Tale of Two Cities (First Edition),,2019-11-01,14500.0,13600.0,,68.0,,,200.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-11.
rally-ulysses,ULYSSES,James Joyce - Ulysses (Matisse Signed),books,rare books,,,,,,James Joyce - Ulysses (Matisse Signed),,2020-03-01,25500.0,17500.0,,35.0,,,500.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-03.
rally-walden,WALDEN,Henry David Thoreau - Walden (First Edition),books,rare books,,,,,,Henry David Thoreau - Walden (First Edition),,2021-05-01,20500.0,31000.0,,15.5,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-05.
rally-wildthing,WILDTHING,Where the Wild Things Are (Inscribed First Edition),books,rare books,,,,,,Where the Wild Things Are (Inscribed First Edition),,2021-10-01,18000.0,13900.0,,6.95,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-10.
rally-wzrdofoz,WZRDOFOZ,The Wonderful Wizard of Oz (First Edition),books,rare books,,,,,,The Wonderful Wizard of Oz (First Edition),,2021-04-01,90000.0,36900.0,,6.15,,,6000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-04.
rally-yoko,YOKO,Yoko Ono - Grapefruit (Signed First Edition),books,rare books,,,,,,Yoko Ono - Grapefruit (Signed First Edition),,2020-05-01,16000.0,8410.0,,42.05,,,200.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-05.
rally-93xj1,93XJ1,1993 Jaguar XJ220,cars,classic cars,,,1993.0,,,Jaguar XJ220,,2018-08-01,495000.0,420000.0,,84.0,,,5000.0,,trading,,,,,Currently trading. Submitted offering_date was 2018-08.
rally-83fb1,83FB1,1983 Ferrari 512 BBi,cars,classic cars,,,1983.0,,,Ferrari 512 BBi,,2018-07-01,350000.0,245500.0,,49.1,,,5000.0,,trading,,,,,Currently trading. Submitted offering_date was 2018-07.
rally-63cc1,63CC1,1963 Chevrolet Corvette Split Window,cars,classic cars,,,1963.0,,,Chevrolet Corvette Split Window,,2019-03-01,126000.0,138000.0,,69.0,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-03.
rally-65fm1,65FM1,1965 Mustang Fastback,cars,classic cars,,,1965.0,,,Mustang Fastback,,2019-05-01,82500.0,69800.0,,34.9,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-05.
rally-55ps1,55PS1,1955 Porsche 356 Speedster,cars,classic cars,,,1955.0,,,Porsche 356 Speedster,,2018-03-01,425000.0,285000.0,,142.5,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2018-03.
rally-65ag1,65AG1,1965 Alfa Romeo Giulia SS,cars,classic cars,,,1965.0,,,Alfa Romeo Giulia SS,,2019-04-01,178500.0,90000.0,,45.0,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-04.
rally-82av1,82AV1,1982 Aston Martin V8 Vantage Oscar India,cars,classic cars,,,1982.0,,,Aston Martin V8 Vantage Oscar India,,2021-12-01,297500.0,163625.0,,11.0,,,14875.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-12.
rally-94fs1,94FS1,1994 Ferrari 348 Spider,cars,classic cars,,,1994.0,,,Ferrari 348 Spider,,2019-09-01,145000.0,116000.0,,58.0,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-09.
rally-94dv1,94DV1,1994 Dodge Viper RT/10,cars,classic cars,,,1994.0,,,Dodge Viper RT/10,,2018-12-01,57500.0,60000.0,,30.0,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2018-12.
rally-99ss1,99SS1,1999 Shelby Series 1,cars,classic cars,,,1999.0,,,Shelby Series 1,,2019-09-01,137500.0,165000.0,,165.0,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-09.
rally-69bm1,69BM1,1969 Boss 302 Mustang,cars,classic cars,,,1969.0,,,Boss 302 Mustang,,2017-11-01,115000.0,100000.0,,50.0,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2017-11.
rally-92ld1,92LD1,1992 Lancia Delta Martini 5,cars,classic cars,,,1992.0,,,Lancia Delta Martini 5,,2018-12-01,165000.0,127500.0,,42.5,,,3000.0,,trading,,,,,Currently trading. Submitted offering_date was 2018-12.
rally-92cc1,92CC1,1992 Chevrolet Corvette ZR-1,cars,classic cars,,,1992.0,,,Chevrolet Corvette ZR-1,,2019-09-01,52500.0,80000.0,,40.0,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-09.
rally-61je1,61JE1,1961 Jaguar E-Type,cars,classic cars,,,1961.0,,,Jaguar E-Type,,2019-04-01,246000.0,172500.0,,57.5,,,3000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-04.
rally-61mg1,61MG1,1961 Maserati 3500 GT,cars,classic cars,,,1961.0,,,Maserati 3500 GT,,2019-09-01,340000.0,215000.0,,43.0,,,5000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-09.
rally-72mc1,72MC1,1972 Mazda Cosmo Sport,cars,classic cars,,,1972.0,,,Mazda Cosmo Sport,,2018-12-01,124500.0,71500.0,,35.75,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2018-12.
rally-91mv1,91MV1,1991 Mitsubishi 3000GT VR-4,cars,classic cars,,,1991.0,,,Mitsubishi 3000GT VR-4,,2018-11-01,38000.0,36000.0,,18.0,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2018-11.
rally-75ra1,75RA1,1975 Renault Alpine A110,cars,classic cars,,,1975.0,,,Renault Alpine A110,,2019-03-01,84000.0,72150.0,,24.05,,,3000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-03.
rally-77le1,77LE1,1977 Lotus Esprit S1,cars,classic cars,,,1977.0,,,Lotus Esprit S1,,2016-11-01,77700.0,80200.0,,40.1,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2016-11.
rally-11bm1,11BM1,2011 BMW 1M,cars,classic cars,,,2011.0,,,BMW 1M,,2019-01-01,84000.0,84800.0,,42.4,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-01.
rally-catcher,CATCHER,J.D. Salinger's The Catcher in the Rye,books,rare books,,,,,,J.D. Salinger's The Catcher in the Rye,,2020-06-01,12500.0,,,,,,500.0,,exited,2026-07-20,27.95,13975.0,0.11799999999999988,Exited Books asset; no quarterly price observations added.
rally-einstein,EINSTEIN,"Albert Einstein's Philosopher-Scientist, Signed First Edition",books,rare books,,,,,,"Albert Einstein's Philosopher-Scientist, Signed First Edition",,2019-12-01,14500.0,,,,,,2000.0,,exited,2026-02-09,8.27,16540.0,0.14068965517241372,Exited Books asset; no quarterly price observations added.
